id,description,severity
765549,"after typing a word in the address bar and pressing ctrl+enter, firefox no longer goes to http://www.<typed word>.com",normal
34522,unicode converter for symbol charset is missing trademark,normal
42362, string assertions at startup,normal
450325,hand cursor disappears after the yellow tip is shown,normal
75530,png tranparency broken.,normal
618226,truncated message in inbox disappears on attempt to download full msg from server,critical
789856,script errors not handled when script blocked by a content policy,normal
430934,cannot scroll page by ibm track point,major
323151,leaked documents for all xml binding files,normal
716361,"firefox -remote 'openurl(about:blank)' tells ""error: no running window found""",normal
405685,url-classifier needs to check phishing and malware prefs separately.,normal
394970,"crash [@ nshtmlreflowstate::initabsoluteconstraints] with plugin, absolute position, xbl and more",critical
190335,svg / gdi+ builds missing gdiplus.dll,critical
668060,"firefox , denial of service handling html tags canvas",normal
510270,"cannot close last tab, closes window instead",normal
4285,"should be links, the text shows, but not as a link.",normal
130483,freeze if error handler has an error _and_ a timeout calling itself,major
271647,status bar covers page content during tabbed browsing,normal
74788,images loaded through javascript call are mangled,normal
579178,don't enumerate components/*.manifest and chrome/*.manifest,normal
33452,no need for frame_complete notification with single frame images.,normal
222544,"printing works perfectly, except the print preview page is blank.",major
41368,fails html test cases on this conformance test page,major
52593,"""mismatch in property name count"" assertion on startup",major
18207,[mlk] leaking nsoptionlist objects due to missing ns_release,normal
6747,html label works ok in html but not in xul,normal
397705,bugzilla developer's guide doesn't display properly in ie,normal
283382,space character delays printing until next word is started ,normal
13028,on the submit button on the form it gives a  error webbot-self,normal
420699,[mac] space bar does not scroll page when japanese im(kotoeri) is on,normal
262412,"will open directories with ""//"" as root, but triggerts auto-complete from form url.. ",normal
369506,calling npn_releaseobject() inside of npp_destroy() doesn't work,normal
614632,"when in my inbox in my comcast.net email, firefox will not open any of the emails.",normal
189465,don't support counter (css),normal
258404,moving draft from an account to 'local folder' and editing it moves it back,normal
638184,sites in adobeflex (flash) with sizes set at % are creating scroll bar on the page. in other browsers is not created.,minor
433672,binary operations not evaluating operands in correct order,normal
196670,mng chromacity testcase crashes mozilla,critical
17978,css system colors don't refresh with system changes,normal
392865,check this folder for new messages missing from context menu,minor
666845,gc doesn't get triggered for this javascript,major
502665,firefox fails to switch to new tab when link is clicked.,major
755215,firefox does not respect the fieldset's form attribute.,normal
2792,selectedindex doesn't work,normal
435559,mozilla firefox should install in windows ,major
11306,table is clipped,normal
729130,google in google,normal
330593,"strange unreadable text randomly appears anywhere on the screen, also in bugzilla",major
801049,performing a search from the browser search field leaks request uris to the disk cache,normal
509983,when commenting out javascript using <!-- -->   the javascript gets interpreted.,normal
398297,printing one or more web pages causes the page headers to print alone on separate pages.,normal
372143,suspicious rule: @onclick means accessible,normal
341603,rss subscribe page icons cut off when font size is small,normal
622441,long username cut off in mail account setup,normal
359787,after calling this site firefox crashes and code is executed,critical
118686,javascript dropdown menus do not automatcally go to a site when they are clicked,normal
82133,nssupportsarray::appendelements and equals do evil things,major
87862,win-no forced backup request,normal
634594,"fennec qt [hardfp toolchain] crashes on startup, memory corruption",critical
173212,subordinate lists are not html . transitional compliant,normal
583942,jm: need trace-tests for getelem pics in tests/pic,normal
415041,[ui] unable to switch toolbars to text/icon individually,normal
125223,url containing japanese is not displayed well,blocker
442411,"text is invisible : related to css font-size, maybe windows dpi setting",major
390598,array_length_setter() is exploitable,critical
397887,the line-height used to scroll a page up/down is not equal to the current value of the css line-height property,normal
560545,[oracle] search.pm calls sql_fulltext_search with duplicate labels,normal
180764,"wrong version reported in windows ""properties"" dialog box",minor
598876,"when saving webpage to pdf for future reference, normally user(s) want to use ""printer friendly"" version (without so much ad's) to export to pdf. however, we have experienced some difficulty with the page layout of pdf download . makes.",normal
474592,"separate mail toolbar button for marking a message with ""star"".",normal
435962,"pages do not stop ""loading"" and back/foward buttons do not work. browser does not navigate to homepage on startup.",major
225722,insecure dependency in exec while running with -t switch at /var/www/html/<bugzilla dir>/post_bug.cgi line ,major
322054,does not shut down sometimes.,normal
570239,jm: assert tripped involving setlocal,normal
604839,drupal ,major
638493,calling window.close() from inside a chrometab or a contenttab is broken,normal
385438,thunderbird should download files to leopard's download stack by default,minor
494821,firefox ..b fails to compile with cairo-qt toolkit,normal
188286,changes in severity levels,major
381993,crash [@ nsdommouseevent::getclientx] with mousemove generating and removing stuff,critical
424223,hanging (beach ball) when checking bugmail,normal
793244,convert screen to webidl,normal
733103,last-active tab is not remembered if it's pinned,normal
319803,"feature request: when changing product, component etc. display old product, old component, other fields in all required steps",minor
709006,implement a orion them that matches the devtools them,normal
330135,cpu % with random freezes (few seconds to over  minutes),normal
348607,locale.dir=rtl does not affect all ui elements in branch builds,normal
637320,search in address bar ignores default search engine,minor
155840,crash [@xpcwrappednative::getneworused] betterscope is ,critical
600803,setting value with newline on textarea has excess newline,normal
275630,hidden digital signature indicator,normal
411046,bidi resolution causes duplication of background images,normal
790062,"rapid memory growth, over gb, casual browsing",normal
328181,direction property not limited to descendants,normal
371528,stop creating views for pages,normal
302408,cell borders not scrolling along with tbody,normal
661484,"eft applet broken if javascript-based content policies are present (adblock plus, noscript, greasemonkey...)",normal
245684,add image encoding support,normal
627191,"""show all tabs"" buttons flickers when clicked",normal
452204,'base href' and 'applet' tag misusage,normal
51077,"clicking backup all after a backup operation gives ""not implemented""",normal
246515,cannot adjust file association in preferences->download. change action and remove buttons are grayed out.,major
