id,description
323587,thunderbird crashed when the auto-forward filter encounter a non-encoded chinese email subject [@ msg_pick_real_name]
323949,paste text copied from tbird before 1st char of paragraph in html compose window fails
323949,cannot paste text copied from tbird before 1st char of paragraph in html compose window
324201,Account name not displayed if Account coulmn added to view
324201,Account name not displayed if Account column added to view
323819,"Dup message when asked ""Advance to next unread message..."""
323819,"Message box title duplicates prompt string for ""Advance to next unread message..."""
324247,HTML mail sent with boid or italic does not render as such on receiver's side
324247,HTML mail sent with bold or italic does not render as such on receiver's side
324415,Wrong time
324415,Wrong time displayed for Email
325030,View->Messages is empty.
325030,View->Messages is empty
325030,"""View -> Messages"" is not hidden when there is no ""View Messages"" in the toolbar. (View->Messages is empty)"
325057,Cannot edit privat adress in my vcards (all accounts)
325057,Cannot edit private address in my vcards (all accounts)
325043,Adding a criteria line in the filter properties or view properties garbles the UI and may crash TB
325043,Adding a criteria line in the filter properties or view properties garbles the UI and may crash TB [@ nsListBoxBodyFrame::GetNextItemBox]
325308,View all messages display is broken
325308,View all messages display is broken after checkin for 324194
325028,Don't work new quick search bar on mail view window
325028,"""Quick Search Bar"" is unnecessary in Mail View. (Don't work new quick search bar on mail view window)"
325417,"should display complete email as tooltip in normal, collapsed headers"
325417,"should display complete email address as tooltip in normal, collapsed headers"
325718,Spell checker deletes lines
325718,Spell checker hides lines
326104,Thunderbird frezzes after sending mail
326104,Thunderbird freezes after sending mail
325631,"Keyboard shortcuts for selecting a folder for message refile or move does not work for ""F"""
325631,Keyboard shortcut 'F' for selecting a folder for Copy or Move does not work
326136,Thunderbird 1.5 spins indefinitely when sending a message containing pasted remote images which it cannot load.
326136,Spins indefinitely when sending a message containing pasted remote (relative path) images which it cannot load
326631,Imaginary mail numbers in each box + imaginary download of new mail numbers
326631,Incorrect Unread items shown in folders
326569,while reading/sending mail occassional bur frequent crashes
326569,while reading/sending mail occasional but frequent crashes
326673,autocomplete no longer adds current domain after '@' in TB1.5
326673,autocomplete no longer adds current domain in TB1.5
327051,baffling behaviour of Delete Attachment feature
327051,baffling behaviour of Delete Attachment feature under IMAP
326128,Thunderbird 1.5.0.1 - Update build and branch values
326128,Thunderbird 1.5.0.2 - Update build and branch values
327117,Adding an address address card to address list creates a new address card
327117,Adding an address card to address list creates a new address card
327268,Multiple copies of message when Thunderbird is running at two different locations
327268,Identical clientside rules create multiple copies of message when Thunderbird is running at two different locations with same set of rules.
327272,can't ask for a new entry in my LDAP server once i've already the ldap server
327272,can't ask for a new entry in my LDAP server once i've already asked the ldap server
324521,100% CPU loop when trying to forward email
324521,Poor Inline Spell Checking Performance On Large Text Documents
327504,Crash Reading Newsgroups  [@ nsTemplateRule::GetAction]
327504,Crash Reading Mail  [@ nsTemplateRule::GetAction]
327108,Cannot save copies to Sent folder. Selections in Copies & Folders are not retained.
327108,Cannot save copies to Sent folder. Selections in Copies & Folders are not retained(IMAP)
327108,Cannot save copies to Sent folder. Selections in Copies & Folders are not retained (any of POP3 or IMAP)
327473,Account Settings not accessible if more then one account
327473,[TB/SM] Account Settings not accessible if more then one account
328021,BC field entries cannot be scrolled
328021,CC field entries cannot be scrolled
328301,"thunderbird's spell correction box does not all ""hitting ENTER"" to accept the suggested change"
328301,"thunderbird's spell correction box does not allow ""hitting ENTER"" to accept the suggested change"
328324,Display attechments inline causes incorrect number of attachments to display
328324,Display attachments inline causes incorrect number of attachments to display
328404,Recent 1.8.1 branch builds modify the right-click context menus
328404,"Recent 1.8.1 branch builds alter the right-click context menus, missing options"
328843,Thunderbird dont accept email adress without @
328843,Thunderbird doesn't accept email address without @
329129,"Can't properly attach files containing ""ö"" --> Attachment window blank and ""check if you have access"""
329129,"Can't properly attach files containing ""&#65533;"" --> Attachment window blank and ""check if you have access"""
329427,mail notification is not
329427,mail notification not displayed
329470,"Can't send any mail, if one smtp does not work"
329470,"Can't send all unsent mail, if one smtp does not work"
329595,Crash on marking mail as Junk (Local Folders)
329595,Crash on marking mail as Junk (Local Folders) [crash@nsMsgDBView::PerformActionsOnJunkMsgs]
329595,Crash on marking mail as Junk (Local Folders) [@ nsMsgDBView::PerformActionsOnJunkMsgs]
329589,Not deleting folders when using IMAP
329589,Not deleting summary files for deleted/moved folders when using IMAP
329857,thunderbird crashed with an XML error
329857,thunderbird gives an XML error
329922,Thunderbird crashes immediately after pressing 'Customize'
329922,Thunderbird crashes immediately after pressing 'Customize' [@ nsXULTemplateBuilder::ContentRemoved]
330106,Mail no received after Thawte certificate import except if encrypted.
330106,"Mail not received after Thawte certificate import, except if encrypted."
330106,Mail not received by other end when add signature is checked
330470,Down arrow skips to the next To: line from the recipient autoselection list
330470,Down arrow skips to the next To: line from the recipient autocomplete list
330281,mail crashed - doesn't open anymore except to display the error reporting dialogue box
330281,mail crashed - doesn't open anymore except to display the error reporting dialogue box [@ ntdll!RtlAllocateHeap+0xef]
330281,crashed on startup [@ nsMsgIdentity::getFolderPref]  [@ ntdll!RtlAllocateHeap+0xef]
329590,Mark message as read
329590,Mark message as read with large wait timeout value goes unread too soon
330797,"Clicking ""Name"" Header in folder view causes incorrect views to be shown"
330797,Cycling Name column doesn't revert to original view
330501,mailing list in address field consumes cpu
330501,excessive cpu if less than one resolved x@y address in message compose
330501,excessive cpu if only one resolved x@y address in message compose
330501,excessive cpu with ldap autocomplete in message compose
327600,"Searching for sender in ""sent mail"" folder actually searches for recipient"
327600,"Searching for sender in ""sent mail"" and drafts folder actually searches for recipient"
327600,"quick searching for sender in ""sent mail"" and drafts folder actually searches for recipient"
331160,"stalls at ""attatching image"" if the image is set as the background for message"
331160,"stalls at ""attaching image"" if the image is set as the background for message"
331541,Upgrading from 1.0 to 1.5+ e-mail account only shows imap folders
331541,Upgrading from 1.0 to 1.5+ profile doesn't show imap folders
331906,Unicode characters bypass image blocking in spam
331906,Unicode characters in spam bypass image blocking
332079,Phishing detector not pinking up all scams
332079,Phishing detector not picking up all scams
331205,Thunderbird not selecting the corrcet Address from the address book
331205,Thunderbird not selecting the correct Address from the address book
332059,Edit Address Book and Other Fields
332059,Unable to Edit Address Book and Other (non-address book) Fields
332366,Prolem with Importing Microsoft Outlook address book
332366,Problem with Importing Microsoft Outlook address book
332309,Moving a large number of messages causes IMAP timeout
332309,IMAP connection times out when server takes too long for a large operation
332921,Some adresses can not receive my mail sent from Thunderbird.
332921,Some addresses can not receive my mail sent from Thunderbird.
332483,Thunderbird LDAP requests does not include userCertificate anymore
332483,Thunderbird LDAP requests do not include userCertificate anymore
332483,LDAP userCertificate requests fail for ldap servers that require auth
333446,Loosing mail attachments
333446,Losing mail attachments
333285,Unbale to import backedup .pst file in Thunderbird
333285,Unable to import backed up .pst file in Thunderbird
333568,Erroneous disply of Utf-8 character in preview panel
333568,Erroneous display of Utf-8 character in preview panel
333606,"can not Send email to msn, yahoo, hotmail, sympatico emails"
333606,"Cannot send email - Mail leaves thunderbird, doesn't arrive"
334087,Interface Error with SeaMonkey When Selecting TinyURL Link in Newsgroup Message
334087,Interface Error with SeaMonkey When Selecting Links in Newsgroup Messages
334263,thunderbird crashes every time I delete a message
334263,thunderbird crashes every time I delete a message [@ JS_strtod]
334263,thunderbird crashes every time I delete a message [@ JS_strtod] if allchars is installed
334263,thunderbird crashes every time I delete a message [@ JS_strtod] if allchars program is installed courtesy Borland Delphi
334665,Thunderbird sometimes crashes on launch
334665,Thunderbird sometimes crashes on launch [crash @ nsContentUtils::IsChromeDoc]
334770,Personal folder not dis[;ayed in list on right hasnd side
334770,Personal folder not displayed in list on right hand side
334883,reproducable way to make tbird crash (on paste from text from firefox)
334883,reproducable way to make tbird crash in nsHTMLEditor::InsertHTMLWithContext() on paste of copied HTML from firefox
334883,reproducable way to make tbird crash [@ nsHTMLEditor::InsertHTMLWithContext] on paste of copied HTML from firefox
334910,Mail move filters occassionally faiul to find valid filders
334910,Mail move filters occassionally fail to find valid filders
334854,downloading a hotmail with stranger characters in subjet displays negative vibes
334854,downloading a hotmail with strange characters in subject displays negative vibes
334932,Trunk crashes
334932,Trunk crashes [@ nsCRT::strtok][@ nsIMAPGenericParser::AdvanceToNextToken]
335135,Crash when importing Mozilla 1.7.12 profile (paswords)
335135,Crash when importing Mozilla 1.7.12 profile (passwords)
326539,Thunderbird 1.5 (20051201) can`t print selected text of e-mail message area
326539,Thunderbird can`t print selected text of e-mail message area
332014,LPAP complete completely broken in thunderbird 1.5
332014,LDAP completely broken in thunderbird 1.5
335661,probleme dating the mail are coming in mailbox.
335661,problem dating the mail are coming in mailbox.
331138,Spurious Account Created
331138,Spurious 'News' Account Created
335458,Very annoying
335458,Add/Remove doesn't uninstall Thunderbird
335458,[winME/win9X only] Add/Remove doesn't uninstall Thunderbird
335823,Universal binaries not yet out for 2.0a1
335823,Universal binaries not yet out for 1.8.x branch and trunk
335823,Universal binaries not yet out for 1.8.x branch
335937,Wrong Number of Unread and Total Messages
335937,Wrong Number of Unread and Total Messages on Thunderbird 1.5.0.2
336077,Crash when online copied text is pasted into message
336077,Crash when online copied text is pasted into message [@ nsHTMLEditor::InsertHTMLWithContext]
324950,Forward as attachment a eml file with another attachment (for ex. test.txt): TB 1.5 can't open or save text.txt if it's not set the view inline of the attachments
324950,"Forward as attachment a "".eml"" file with another attachment (for ex. test.txt): TB 1.5 can't open or save text.txt if it's not set the view inline of the attachments"
336413,"printing silently fails if user_pref(""print.print_printer"") set incorrectly"
336413,"very confusing behavior if user_pref(""print.print_printer"") set to an unmapped network printer"
336603,Save Link Target
336603,"Save Link Target causes ""Component does not have requested interface"" exception"
336603,"""Save Link Target"" fails quietly when bad proxy config is active"
336700,Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9a1) Gecko/20060504 Thunderbird/3.0a1 ID:2006050409
336700,Crash 0x6c69614d b7e1aa40
336777,Microssoft Word attachments not stored as Word Docs!!
336777,Microsoft Word attachments not handled properly after downloading
336567,Wrong attachement filename
336567,Wrong attachment filename (c-\)
336797,Default opening of attachments not allways correct.
336797,Default handler for attachments not allways correct
336797,Default handler for attachments not always correct
336843,opening email message crashes thunderbird
336843,forwarding email message crashes thunderbird
336843,Inline forwarding (HTML) apparently hangs thunderbird
336923,regression of bug 320725
336923,delete key becomes disabled
334488,Double UTF-8 in full name
334488,full name from system should be no be assumed to be iso-8859-1
336425,Content frame flickers when switching between profiles
336425,Content frame flickers when switching between accounts
337815,Messages don´t show-summary-file increases every time Tb opens
337815,Messages don't show; summary-file increases every time Tb opens
337012,misreporting mesage count - unable to download messages
337012,misreporting message count - unable to download messages
337964,The Master Password dialog does not appear when changing account during message composing
337964,changing account during message composing doesn't apply signing prefs from new account.
338373,new contacts accepted but do not show up in address book
338373,new contacts accepted but do not show up in mailing list
338837,Program crashes when I paste text into a message.
338837,Program crashes when I paste text into a message [@ nsHTMLEditor::InsertHTMLWithContext]
338980,SoC Tracking - ThunderBird extension to leverage Google Desktop Search for e-mail body searches.
338980,SoC Tracking - Thunderbird extension to leverage Google Desktop Search
339139,Failed to load XPCOM component
339139,Failed to load XPCOM component messages on startup in console
339161,"when I click on the ""Junk"" folder in Thunderbird, program crashes."
339161,"when I click on the ""Junk"" folder in Thunderbird, program hangs"
337937,Thunderbird will not uninstall from Wimdows 98 SE Control panel Add/Remove software
337937,Thunderbird will not uninstall from Windows 98 SE Control panel Add/Remove software
339410,images not displayed inside RSS message body
339410,images not displayed inside message body (POP/IMAP/RSS)
339887,Message contents don't change to plain text on Options > Format > Plain Text Only
339887,"Options > Format menu is unclear: should be ""Send format"" or similar"
339849,recieved messages time stamp either has no date or wrong date
339849,received messages time stamp either has no date or wrong date
340049,"Redundand ""(*.xpi)"" in Tools->Extensions->Install pop-up"
340049,"Redundant ""(*.xpi)"" in Tools->Extensions->Install pop-up"
340071,[mac only] pasting html from ff 1.5.0.4 into compose window in tb 1.5.0.4 doesn't past anything
340071,[mac only] pasting html from ff 1.5.0.4 into compose window in tb 1.5.0.4 doesn't paste anything
339590,wrong behavior when attaching files
339590,When attaching a file (symbolic link) the name of the referenced file is used instead of symlink name
336973,Message window leaks
336973,Message window leaks (newsgroups)
340254,Puts Icons on Desktop and Quicklaunch Toolbar Contrary to Instructions
340254,[win9X/winMe] Puts Icons on Desktop and Quicklaunch Toolbar Contrary to Instructions
326037,"loading a new message is very slow, more than 5 secs, even if it's a simple text email"
326037,"loading a new message is very slow, more than 5 secs due to virus scanner"
326697,"thunderbird takes 1GB of RAM during a IMAP move of 500+ messages on a 30,000+ mail inbox"
326697,"thunderbird takes 1GB of memory during a IMAP move of 500+ messages on a 30,000+ mail inbox"
331840,Unread -1 Total -1 in the right corner of statusbar
331840,Wrong/Negative Message Counts (Unread -1 Total -1) in statusbar when account selected
340985,Hotkeys for expand/collapse threads
340985,Hotkeys for expand/collapse threads not listed in menus in Russian version
341000,hang
341000,hang entering newsgroup or news message
341148,Emty Drafts folder reads Drafts (1)
341148,Empty Drafts folder reads Drafts (1)
341241,"After entering a character with alt-numlock-0227, focus behaves strangely"
341241,"After entering address using ""alt-numlock"" char entry, focus behaves strangely"
341398,Viewing sub-options are broken.
341398,[trunk] Viewing sub-options are broken.
341398,Viewing sub-options are broken.
341369,Label colors are not working
341369,Label/Tag colors are not working
341957,New mail alert does not respect task bar position
341957,Improved mail alert does not respect task bar position
341957,[patch] Improved mail alert does not respect task bar position
341173,Need hotkeys to assign tags to messages
341173,Need hotkeys to assign label/tag to message - shortcut 0-5
339135,Convert Thunderibrd to use the NSIS Installer
339135,Convert Thunderbird to use the NSIS Installer
342418,"Crashed on changing advanced Account Settiings to ""Inbox for different account"" and subsequently crashed on startup."
342418,"Crashed on changing advanced Account Settings to ""Inbox for different account"" and subsequently crashed on startup"
337286,Exit Questionnaire (Thunderbird) uses incorrect system browser
337286,Thunderbird uninstall survey should use system default browser
342201,Ctrl+Shift+F does not list found messages
342201,Ctrl+Shift+F does not list found messages (BiDi/Hebrew)
325986,glibc detected free error causes Thunberbird hang
325986,glibc detected free error causes Thunberbird hang [ @ nsMsgDatabase::HeaderEnumerator]
325986,glibc detected free error causes Thunberbird hang [@ nsMsgDatabase::HeaderEnumerator]
343170,Message tags shown twice in tags column
343170,Message tags shown twice in message header
335843,"Reading All Messages in a Newsgroup Causes Other Newsgroups to Indicate ""All Read"""
335843,"Reading Messages in a Newsgroup Causes Other Newsgroups to Indicate ""All Read"""
323373,Migrating Netscape 7.2 e-mail accounts fails to import all SMTP servers
323373,fails to import all SMTP servers from mozilla suite/netscape 7.2
343861,Loosing user/password after nntp authentication error
343861,Losing user/password after nntp authentication error
344031,Bad moving between header fields
344031,Problems with arrow-key navigation between header fields
344175,"thunderbird quits by itself when opening it, 5 seconds after, so cant get my mails!"
344175,"thunderbird crashes when opening it, 5 seconds after, so can't get my mails!"
344133,First time launch presents dialog with one choce only
344133,"First launch presents migration dialog with only ""Don't import anything"" choice"
324325,100% CPU utilization; never finishes
324325,100% CPU utilization exiting thunderbird; never finishes
344364,compose message window: CRLF is added reaching line width
344364,compose message window: CRLF is added reaching window width
344371,folder view
344371,folder view is collapsed after restart (write protected reg)
344110,Filter criteria for searching do not fulfil
344110,"search/filter for ""has attachments"" does not work on digitally signed messages"
344223,Bug or virus?
344223,slow startup and wrong message count
344103,Thunderbird crashes after selecting mails in the main mail window
344103,Thunderbird crashes after selecting mails in the main mail window [@ JS_strtod]
332565,"email slow when checking for new messages, can't view messages in inbox, total number of email like 110-when there s only 20 or so email in the inbox, won't let me forward emails, won't let me export to saved email to another email program"
332565,"email slow when checking for new messages, can't view messages in inbox, incorrect total number emails in inbox, can't forward email, can't export email"
333821,Capital (uppercase) J cannot be typed when adding card to address book from contextual menu of email address in message header section of preview
333821,Capital (uppercase) J cannot be typed when entering text in some fields in Thunderbird
345485,2006-07-21 1.8branch build: Menu doesn't work
345485,2006-07-21 1.8 branch build: Menu doesn't work
345644,Crash When sending Mail as Plain text and HTML
345644,Crash When sending Mail as Plain text and HTML [@ fortilsp.dll]
345416,It take too long to quit thunderbird.
345416,It take too long to quit thunderbird
343901,cannot install dictionaries in thunderbird since bug 216382 landed
343901,[tbird] cannot install dictionaries in thunderbird since bug 216382 landed
345003,Create unique icon for Tag toolbar button
345003,Create unique icon for Tag toolbar button for Pinstripe
345999,Deleting a tag does not remove it from the UI list
345999,Deleting a tag does not remove it from the UI list until you restart
338984,SoC Tracking - JS libaries for Thunderbird Tasks
338984,SoC Tracking - JS libraries for Thunderbird Tasks
346115,pop3 send mail slow in 1.5.0.4
346115,SMTP send mail slow in 1.5.0.4
346115,SMTP send mail slow in 1.5.0.4 with MS Exchange 2000
346206,"Small Icon for ""Mark Messages"" button deformed in this theme"
346206,"Small Icon for ""Mark Messages"" button deformed in Phoenity theme"
346601,Dictionary
346601,Can't install Spanish dictionary in Thunderbird trunk
346600,accounts settings
346600,Accounts Settings appear blank
346765,100% CPU hang
346765,100% CPU hang in Thunderbird
346355,Crash when restarting Thunderbird [crash @ libc.so.6]
346355,Crash when restarting Thunderbird [@ libc.so.6] [@ PL_DHashAllocTable]
346696,Using customise toolbar function disables menus
346696,Using customize toolbar function disables menus
347214,.txt format signature should render as text
347214,.txt format signature should render as plain text
347193,"Drafts does'nt open, when I wanted to proceed the writing"
347193,Drafts doesn't open when I wanted to proceed the writing
347297,"saved search folder not showing up in the ""recent folders"" folder view"
347297,"saved search folder over a single folder not showing up in the ""recent folders"" folder view"
328586,"""Save Image As..."" context menu item missing from context menu"
328586,"""Save Image As..."" context menu item replaced by ""Save Image"""
328586,"""Save Image"" should be ""Save Image As..."" and  ""Save Link Location"" ""Save Link As..."" link in firefox"
345731,Fail to copy sent message to Sent folder if the attachement is encoded with 8-bit Transfer Encoding
345731,(IMAP/Exchange) Fail to copy to Sent folder if the attachment is encoded with 8-bit Transfer Encoding
338243,Enable TLS for IMAP but Thunderbird still uses unencrypted connections.
338243,Enabling TLS for new IMAP connections doesn't close old connections
346460,It crashes when the message is moved
346460,It crashes when the message is moved [@ szone_malloc] [@ DispatchEventToHandlers]
348478,Preview pane not clearing
348478,Preview pane not clearing when switching to another account
348489,[mac] close button in the quick search text box to close to the edge
348489,[mac] close button in the quick search text box too close to the edge
348411,IMAP mail folder subscription does not work.
348411,IMAP subscribe dialog is modal
348411,IMAP mail folder subscription does not work
343304,drag & drop contacts to lists
343304,drag & drop contacts to lists requires ctrl key + mouse button
343304,drag & drop multiple contacts to mailing-list copies only one
343304,drag & drop multiple contacts to mailing-list copies only one or few
348534,Thunderbird crashes before finished importing mail from Eudora 7.0.1.0 light mode
348534,Thunderbird crashes before finished importing mail from Eudora 7.0.1.0 light mode [@ ntdll.dll + 0x11430] [@ JS_ArenaAllocate]
348506,crash when i type first characters of mail address and composer finds a match in address book
348506,[suse] crash when i type first characters of mail address and composer finds a match in address book
348657,brand.dtd is not a well-formed DTD file because a .properties-like comment
348657,brand.dtd is not a well-formed DTD file because of an #expand macro
348717,header overflow twisty lost when needed in consecutively viewwed messages
348717,header overflow twisty lost when needed in consecutively viewed messages
348707,remove / delete (outgoing) smtp server from list and the list is not updated until account manager is reopened
348707,Remove / delete (outgoing) smtp server from list and the list is not updated until account manager is reopened
348829,Bad display on some options (gnome) since landing for bug 345887
348829,[Gnome] Bad display on some options since landing for bug 345887
348872,Tag button icon missing
348872,tag button won't stay on main toolbar
348936,header information panel lacks padding
348936,NEW THEME -- header information panel lacks padding
348969,folder pane inbox icon is vertically off center
348969,folder pane inbox icon is vertically off center; normal folder horizontally
349073,Unable to use the address book
349073,address book comes up empty
349073,address book comes up empty after running TB 1.5 and then running newer release
349171,crash on restore minimized instance
349171,crash on restore minimized instance [@ JS_GetFunctionScript]
349669,Drafts are prited like plain text
349669,Drafts are printed like plain text
349669,mail drafts are printed like plain text
349767,Port seamonkey's folder location toolbar button to Thunderbird
349767,Port SeaMonkey's folder location toolbar button to Thunderbird
350469,Email notifikation
350469,Alert for new mail beeps speaker instead of playing a sound
350478,display of the message listing corrupt
350478,background gradient causes corrupt message list display
350627,all-thunderbird.js has a lot of meaningless entries
350627,all-thunderbird.js has a lot of unused values
350536,Crash loading a saved search after dismissing the folder properties dialog
350536,Crash loading a saved search after dismissing the folder properties dialog [crash @ nsMsgXFVirtualFolderDBView::RemovePendingDBListeners]
350536,Crash loading a saved search after dismissing the folder properties dialog [@ nsMsgXFVirtualFolderDBView::RemovePendingDBListeners]
350865,cannot tag multiple messages in a saved search folder
350865,cannot tag multiple messages in RSS saved search folder
350865,cannot tag multiple messages in RSS saved search spanning multiple folders
350865,cannot tag multiple messages in saved search spanning multiple folders
351057,Reply not working in build 20060901
351057,Reply not working in build 20060901 (Editor Instance is DOA)
351123,"After T-bird opens, it build inbox profile and displays after a delay all old and new messages. However, after that, if you hit ""Get Mail"" icon - NOTHING HAPPENS. So, you may have T-bird open for a long time with many messages coming in"
351123,"click ""Get Mail"" icon aka get new messages - NOTHING HAPPENS"
351123,
339566,"Text in editor repositioned, when cursor moved over ""wrongly spelled"" word"
339566,"Text repositioned (scrolls), when caret moved via arrows over ""misspelled"" word"
340982,Hidden folder pane difficult for endusers to restore
340982,Make it easier to locate collapsed (hidden) folder pane -- difficult for users to figure out what's going on
340069,Clicking Middle Button in Mail Window has Wrong Directional Pointer
340069,Clicking Middle Button (scroll) in Mail Window has Wrong Directional Pointer
340069,Clicking Middle Button (autoscroll) in Mail Window has Wrong Directional Pointer
340906,RSS: added subsribe isn't shown in main panel
340906,RSS: added subscribe isn't shown in main panel
351359,Add installer string String to support Vista's SPAD and SUD
351359,Add installer string to support Vista's SPAD and SUD
351368,"In Add-ons manager, the link of  Get Extentions/Themes doesn't exist."
351368,"In Add-ons manager, the link of  Get Extensions/Themes doesn't exist."
348339,Total message display dismatch with real count
348339,Inbox total message display dismatch with real count
351442,Junk status column / icon column position is not stored on restart
351442,Junk status column / icon position is not stored on restart
351464,Crash when sorting results in search messages [@ GetCurColumnHandlerFromDBInfo]
351464,Crash when sorting results in search messages [@ nsMsgDBView::GetCurColumnHandlerFromDBInfo]
351517,Ctrl-W on a loading thunderbird window closes/crashes *ALL* open thunderbird windows
351517,"Ctrl-W on a loading Thunderbird window crashes, closing all open windows"
351517,"Ctrl-W on a loading Thunderbird window crashes, closing all open windows [@ nsMsgDBView::GetURIForViewIndex]"
341060,The message cannot be saved by the test format.
341060,The message cannot be saved by the text format.
350423,"problems with the image in the ""tbird thinks this message might be a scam"" bar"
350423,"problems with the image in the ""tbird thinks this message might be a scam"" / ""blocking remote images"" bar"
340135,Header info spills out of its area over bottom bar
340135,Header info spills out of its area over bottom bar (in view all headers mode)
351785,Extra Space on UI below header in Preview pane
351785,Extra space on UI below header in preview pane
349574,"no ""get more themes"" link, themes needs work"
349574,"no ""Get themes"" or ""Get Extensions"" link, themes needs work"
349574,"no ""Get themes"" or ""Get Extensions"" link"
351787,Sent Message marked as spam
351787,Sent Message marked as possible scam
351989,Crashes when scrolling
351989,Crashes when scrolling in message preview pane
352023,COOKIE MANAGER CANNOT BE CHANGED
352023,Certificate manager problem
338753,"'quick search' for Sender doesn't search ""Sender:"" headers"
338753,"don't confuse ""Sender:""-header with ""From:"" in quick search, thread columns"
352171,Crash/hang when deleting last message in folder from open message window
352171,Crash/hang when deleting last message in folder from open message window [@ nsMsgMailSession::OnItemEvent]
352171,Crash/hang when deleting last message in folder from open message window with TB Header Tools Extension [@ nsMsgMailSession::OnItemEvent]
352171,Crash/hang when deleting last message in folder from open message window with TB Header Tools Extension 0.6.6 [@ nsMsgMailSession::OnItemEvent]
352527,"""Reply"" broken in today's build"
352527,"Creating mail (New, Reply, Forward) broken in today's build"
352527,"Creating mail (New, Reply, Forward) broken in today's (9/12/06) build"
352527,"Creating mail (New, Reply, Forward) broken in today's (9/13/06) build"
352317,Typing a URL in  new message produces Part 1.1.2 attachment and about:blank link
352317,insert link + attach source produces Part 1.1.2 attachment and about:blank link
352317,Typing a URL in new message produces Part 1.1.2 attachment and about:blank link
336423,cannot go to another site contained in e mails--on occasion e mail does not even print the site so can't copy and paste into browser
336423,cannot go to another site contained in e mails
352801,Passwork repeateadely asked
352801,1.5.0.7 keeps asking for password
346293,"twice the same mail, one of them is an empty copy"
346293,"twice the same mail, one is empty"
352146,Thunderbird crashes when opening an email AND setup the use of an LDAP addressbook.
352146,Thunderbird crashes when opening an email AND setup the use of an LDAP addressbook [@ nsAddrDatabase::GetRowFromAttribute]
347542,"Sort-order in ""Move to"" or ""Copy to"" different under Windows/Linux"
347542,"Sort-order in ""Move to"" or ""Copy to"" different under Windows/Linux f"
352087,na
352087,printing an email message crashes thunderbird
353073,Move mail to folder does not work in the new nightly build both on Win XP and Tiger OSX on Intel Macbook
353073,Move mail between IMAP folders does not work (trunk)
