id,severity,description
342104,normal,can't reassign to current default assignee/qa
342528,normal,Undefined subroutine in showdependencytree.cgi in latest CVS
342842,normal,Bugzilla should correct its paths to avoid rendering errors
342828,normal,"keyword cache is not sorted alphabetically, makes sorting by keyword inconsistent"
343189,critical,checksetup.pl HASH reference error with 2.18.5 to 2.20.2/2.22 upgrade
343248,normal,SQL query to get all keywords with bug count is duplicated in editkeywords.cgi and describekeywords.cgi
343418,normal,votes page doesn't tell me why a bug is crossed out
343361,normal,die_with_dignity is useless inside of Bugzilla::CGI
343726,major,No image produced in either Graphical Reports or New Charts .
343752,critical,order not properly validated
339731,enhancement,LDAP: full URI drop code duplicated with Net::LDAP
344043,normal,Use of watching accounts interferes with security bug CCs
344106,critical,Error upgrading Bugzilla to version 2.23.2+
344293,normal,front.png too hard to customize when using multiple instance/single source
344448,critical,editparams.cgi doesn't let me clear a group in editparams.cgi
344507,normal,Users watching you: None
344527,major,Charts are broken using mod_perl
338439,normal,http://www.bugzilla.org/docs/tip/html/faq.html answers could do with some updating.
323521,minor,editkeywords.cgi does not HTMLify descriptions
344748,normal,my requests filter screen does not behave right
345364,normal,"The word ""Bug"" appears bare in editparams.cgi"
344282,trivial,Require DBI 1.41+ for DBD::Pg 1.45
345958,major,Inactive Flag Types should not be a fatal error - Bugzilla has suffered an internal error.
345970,normal,Avoid using the string 'the web'
345971,enhancement,Should we consistently use webserver or web server?
346091,normal,"""Use of uninitialized value in integer addition"" on buglist.cgi under AIX 5.3"
346086,minor,attachment.cgi lets you view descriptions of private attachments even when you are not in the insidergroup
346155,normal,users with grant anything can see member lists for all groups
346249,normal,Query result in XML format is invalid to Bugzilla DTD
348282,normal,importxml.pl throws Bugzilla::Bug::ValidateTime warnings if the exporter was not in the timetrackinggroup
348529,normal,"Editing keywords results in a ""Software Error"""
348464,major,votes.cgi fails with a taint error
349026,blocker,Find a Specific Bug for Closed bugs returns NO ROWS
349356,normal,complain about microsoft
349764,normal,"CodeErrors print out a whole HTML page, even when we're not in USAGE_MODE_BROWSER"
351752,normal,no email on new bug for reporter or assignee
349852,normal,“I'm added to or removed from this capacity” user pref doesn't work for new bugs
353623,normal,Sanity Check rescanallbugmail not working
353656,blocker,bugzilla user interface gets corrupted by multiple localized users resolving bugs as duplicates
353758,critical,Installation Document specific to SuSe EL9.0 with MySql
353965,normal,"object => ""field values"" doesn't exist in user-error.html.tmpl"
354304,normal,Changing multiple bugs fails
351765,critical,bz goes deadloop on some comments
353520,critical,Insecure dependency in piped open while running with -T switch at Bugzilla/BugMail.pm line 653.
355420,normal,userprefs.cgi?tab=permissions may show groups invisible to you
355744,normal,group restriction isn't applied on bug creation
355870,normal,create product with makeproductgroups on not visible for a creategroups user
330365,minor,"[PostgreSQL] It's somehow possible to generate two ""relevance"" columns on buglist.cgi"
357209,major,collectstats failed due to duplicates.cgi: Use of uninitialized value in string ne at (eval 57) line 31.
357278,major,BugMail.pl should use values from globals/field-descs.none.tmpl (Resolution & Status specifically)
357429,critical,Renaming a group which plays a special role generates a SQL error
357391,minor,"No space between ""Actions:"" and ""Home"" when logged out"
357580,normal,Flag fieldset should appear directly under People fieldset
357847,critical,Perl modules Email-Reply and Email-MIME-Modifier missing from the
349210,normal,Whine.pl doesn't seem to work from command line nor cron.
358355,normal,Specified LDAPmailattribute not found error when configuring Bugzilla with LDAP
358238,major,"The string ""attachment"" followed by a number anywhere in bugzilla will mess up attachment"
354905,enhancement,Documentation for usevisibilitygroups
359234,critical,missing indexes cause upgrades to fail -- code think-o
359621,normal,"""attachment description"" & ""changed from"" boolean search gives internal error"
359685,normal,"""comment"" & ""changed from"" boolean search gives internal error"
360607,critical,"Account creation fails with 'Can't locate object method ""_headers_as_string""'"
361252,normal,checksetup.pl should get confirmation from the user before causing dataloss in UTF8 conversion
354868,normal,Race condition when changing user privs in editusers.cgi
361251,blocker,update Bugzilla FAQ
361655,normal,How to configure bugzilla with postfix to send bug via e-mail
363910,normal,""" Add a new query"" should be renamed"
363912,normal,Don't mix query and search
363916,normal,how could i possibly be using quicksearch?
363915,normal,edit group should italicize (em?) not linkify (a) the edited group
364055,minor,Message confusing when your version of DBD::foo or MySQL/Pg is too old
364134,normal,Upgrading from 2.20 to latest CVS produces error message in contrib/recode.pl
364065,normal,Disabling CC list <select> for logged-out users can make the list unscrollable
325691,trivial,terms.Bugs not used in saved searches template
364163,normal,Header and Footer are much worse in links than they used to be
364167,normal,no space in Attachments on this Bug:263
364157,normal,Inefficient SQL: Selects milestones one-by-one
364160,normal,Inefficient SQL: Bugzilla/User.pm can_see_bug permission check
364162,normal,Inefficient SQL: Determining if named query should be shown in footer
364173,normal,Help: i'm having a very hard time counting to two
364172,normal,None is not a good continuation for  0 Open bugs that bug 20 depends on
364169,normal,why is there a show votes for this bug if the bug has no votes?
364165,normal,Unclassified appears in format for printing but not normal view
364164,normal,"""Flags"" box on show_bug.cgi doesn't validate due to empty <option>"
364161,normal,Inefficient SQL: Selecting subclass from setting table
364637,critical,"contrib/bzdbcopy.pl: Can't locate object method ""params"" via package ""Bugzilla"" at Bugzilla/DB/Mysql.pm line 65"
363717,normal,Double quotes in comments
364851,normal,'b' is a duplicated mnemonic
364923,normal,Flag options should be disabled for users that cannot request or grant/deny them instead of showing a blank drop-down
364958,normal,"If user does not have a real name, just e-mail address should be displayed instead of "" <user@email.tld>"""
364960,normal,"""Reassign bug to default assignee"" text is worded very badly"
364951,normal,"post_bug.cgi does not validate due to invalid id for ""Reassign bug to ..."" <input>"
365046,normal,"If docs_urlbase is empty, link to ""the named tag"" in the documentation is not supressed"
365056,normal,Netscape Feedback Center link on guided form is poorly punctuated
365054,normal,no changes should be in the plural
365055,normal,patchview param_descs for cvsroot is poorly punctuated
365070,normal,enter_bug.cgi and IE do not agree resulting in bugzilla accusing me of filing bugs using the same form
365122,normal,Success messages shouldn't be red
365083,normal,edit components cc list text needs wordsmithing
365062,normal,"extra whitespace in ""to classification ..."" parenthetical"
365061,normal,Unclassified default description is bad
365256,normal,Period is on the wrong side of a bunch of other parentheses
355995,normal,aliases should absolutely forbid non ascii (遠藤 != &#36960;&#34276;)
365221,normal,period is on the wrong side of parentheses in priority description
365219,enhancement,don't send You are watching ... to global watchers
365450,normal,stupid markups in global/messages
365587,normal,Large bug list causes Bugzilla to give misleading information
365588,normal,Bugzilla misleadingly shows 'Show last search results' link
365456,minor,bug/summarize-time uses p as br
365483,minor,admin/fieldvalues/created has useless <p>
365484,minor,admin/fieldvalues/deleted has useless <p>
365486,minor,admin/fieldvalues/edit has useless <p>
365487,normal,admin/fieldvalues/footer produces invalid markup
365488,normal,admin/fieldvalues/updated produces strange markup
365491,normal,admin/milestones/create has useless <p>
365492,normal,admin/milestones/created has useless <p>
365493,normal,admin/milestones/deleted has useless <p>
365494,normal,admin/milestones/edit has useless <p>
365495,normal,admin/milestones/footer produces invalid markup
365496,normal,admin/milestones/list has useless <p>
365497,normal,admin/milestones/select-product has useless <p>
365498,normal,admin/milestones/updated has useless <p>
365500,normal,admin/products/groupcontrol/edit uses p as br
365502,normal,admin/products/confirm-delete uses strange mark up
365503,normal,admin/products/footer produces invalid markup
365504,normal,admin/products/list has useless <p>
365505,normal,admin/products/list-classifications has useless <p>
365506,normal,admin/products/updated uses strange mark up
365507,normal,admin/versions/confirm-delete uses strange mark up
365508,normal,admin/versions/create useless <p>
365509,normal,admin/versions/created has useless <p>
365510,normal,admin/versions/deleted has useless <p>
365511,normal,admin/versions/edit has useless <p>
365512,normal,admin/versions/footer produces invalid markup
365513,normal,admin/versions/list has useless <p>
365514,normal,admin/versions/select-product has useless <p>
365515,normal,admin/versions/updated has useless <p>
365516,normal,attachment/confirm-delete uses p as br
365554,minor,globbal/user-error uses p as br
365557,minor,account/profile-activity has useless <p>
365559,minor,account/confirm-new uses p as br
365560,minor,account/permissions uses invalid usage for p
365565,minor,admin/fieldvalues/list has useless <p>
365566,minor,admin/fieldvalues/select-field has useless <p>
365567,minor,admin/fieldvalues/updated has useless <p>
365568,minor,admin/group/edit has useless <p>
365518,normal,bug/process/verify-new-product uses strange mark up
365519,normal,admin/groups/delete has unescaped &
365520,normal,attachment/edit has unescaped &
365521,normal,bug/create/create-guided has unescaped &
365522,normal,reports/create-chart has unescaped &
365524,normal,emailregexpdesc: should not say 'English' here
365525,normal,..
365668,normal,bug_file_loc is not available in change columns
365697,normal,email_in.pl interface is case-sensitive for products
365229,minor,email_in.pl modifies bug permissions without user entering fields
365035,major,Problem to define path caused by Bugzilla::Config (with fix :)
365593,normal,bz_webservices_demo.pl does not appear to match the API as defined in the Webservices code
366190,normal,Remove obsolete 'compatibility' comment about sending mail to disabled accounts
366152,normal,enter_bug accepted ?whitespace? in url field but it was forcibly truncated / removed by process_bug
366120,normal,QuickSearch gets confused by colons in quotes
366121,normal,QuickSearch gets confused by field-specific quotes
366181,normal,"Bugmail incorrectly sent when CC list of a bug I'm watching via QA contact changes, with QA email for CC changes turned off"
366306,major,Can't use attachments.thedata as a field name.
366380,normal,Add component to Product 'product_name' is awkward
366381,normal,Adding new Component of Product 'Derivatives' is poorly worded
366383,normal,"edit component '' / """" is hard to read"
366384,normal,improve Delete Component of Product 'Derivatives'
366385,normal,improve Deleted Component '''' from Product 'Derivatives'
366629,normal,Bugmail messed up if adding dependency for resolved bug in new bug
367258,normal,Editing an attachment while logged out asks you to log in twice
367343,normal,doc imprecision concerning the milestones parameter
367466,blocker,trying to file a bug you wrote the previous night fails without any way to retrieve the bug report
367649,normal,Deleting an attachment should set isobsolete to 1
367924,normal,[Tue Jan 23 12:13:56 2007] index.cgi : Use of uninitialized value in substitution (s///) at (eval 22) line 44.
365119,minor,please remove reference to talkback from guided template
368311,normal,custom field info is not imported into database from xml file
367674,normal,[SECURITY] Possible XSS when reading Atom feeds
362436,normal,"I am not able to search if version is ""---"""
369086,normal,"Bugzilla Guide broken, html and pdf truncated at 2nd chapter"
369139,normal,"Success message for adding a tag is titled ""Bugzilla Message"""
364177,major,"On attachment and bug creation, if *one* requestee cannot see the bug, *all* requests are cancelled"
364697,enhancement,dataloss warning from UTF8 conversion is not precise/scary enough
369268,normal,Api Documentation of Bugzilla::WebService::Product with wrong title.
365926,major,Attachments mis-served as utf-8
369489,normal,"Link for ""Target Milestone:"" goes to wrong place on new bug page."
370370,major,"mod_perl crashes when going to ""Parameters"" page"
370664,critical,Upgrade from 2.16.7 to 2.22.1-2 fails without updating the database
370704,normal,Release Bugzilla 3.0rc1
370705,normal,"Create ""new features"" page for Bugzilla 3.0"
370706,normal,Move /releases/2.24/ content to /releases/3.0/ on bugzilla.org
370707,normal,Create a Status Update for Bugzilla 3.0rc1
370708,normal,"Update ""Download"" Page for Bugzilla 3.0rc1"
370714,normal,"Update ""Changes"" Page for Bugzilla 3.0rc1"
370715,normal,Release/News Announcement for Bugzilla 3.0rc1
370739,blocker,Bugzilla UI broken with Firefox 2.0.0.x
370885,normal,Arrows in dependency graphs are drawn the wrong way
371808,minor,'emailsuffix' is duplicated on email notification
372092,normal,Error when Search of open all open bugs
372589,major,Firefox squishes bugsearch window making it difficult to use
372723,normal,Bookmarkable templates should not contain tokens
352615,normal,attachment.cgi?action=diff abuses tables badly
372997,normal,JavaScript warnings in attachment.js
373511,normal,InnoDB conversion can fail silently
373869,critical,In search result screen sort the bugs by any custom field displays an error screen
373997,normal,internal error when attempting a clone with no target milestone
373926,normal,Time-tracking and attachment tables look too different
372668,major,Email failed to send if using port number in bugzilla install
374951,major,Initial installation creates the mysql db using latin1 charset
375143,normal,footer should have clear:both in css
374051,major,Email notifications not being sent
375138,normal,The UI of index.cgi is broken
376061,major,changing requestee should not change requester
375007,normal,Identifier in SQL should be more applicable.
375798,enhancement,Unable to save/edit too long query
377825,normal,Users with editcomponents for a product don't see hyperlink to editproducts.cgi
349029,normal,I want to receive mail when: Some attachment data changes
366346,enhancement,"On process_bug.cgi with submit_action=nothing, provide Next/Prev link"
379787,minor,Flag request mail has a blank requestee when requestee doesn't get the mail
380267,normal,Release notes for 3.0 don't flag new MySQL version requirement as changed from 2.22
380552,normal,"don't strike out ""cancel and return to"" it makes the link unreadable"
380797,minor,"Email_in.pl works but reports ""Can't locate PatchReader.pm"" when run under fetchmail"
380928,normal,Bugzilla::Auth::Verify::create_or_update_user can return stale Bugzilla::User object
376427,major,Exported XML files contain the incorrect status and resolution
381531,normal,t
382037,normal,Default CC is ignore when create a bug via the webservice
379127,normal,Reference to file docs/html/list.html which does not exist
383432,critical,edituser for a deleted user should not give internal server error :)
383850,normal,email_in.pl documentation does not contain all required fields for new bug creation
384000,minor,bugzilla.org request system feature bullet is too proud
385003,major,"Entering a tag name manually (""create and add the tag"") should not silently remove the tag from any other bugs. (overwrites)"
385319,normal,vertical label (and table in mozilla) snake around when using z axis whose values have wide ranging lengths
385384,normal,html table reports with z axis should only show rows/columns relevant to z axis
385624,normal,network is not connected
386860,normal,Insufficient escaping in email_reply.pl
387265,normal,Should check for bogus keywords before asking for new product details
365472,normal,rename 'token_inexistent' to 'token_does_not_exist' or something
340350,normal,"009bugwords.t fails to detect /bugs?,/"
387705,normal,Single dependency loop detect not working.
387831,normal,Deleting products does not clean up the component_cc table
363908,normal,"Consistently name User Preferences, err Default Preferences, err Edit Settings"
389471,normal,Ability to specify the product version
389517,normal,CSV export gives resolution and status in English
389815,enhancement,can't edit shared queries
390557,normal,uninitialized value in process_bug.cgi when using Mylyn and user is in the timetracking group
391073,major,process_bug.cgi throws an error if a bug is moved to another product or component where a given flag doesn't apply as is
391519,normal,Software error - display the password
391665,enhancement,deleting a non existent search succeeds and informs me that it is gone
391669,normal,Adding a comment via email_in.pl fails because it tries to clear assignee name
341449,normal,Including the name in comments in email makes the line too long
365060,normal,Edit products is missing a :
392212,normal,Bugzilla LDAP support does not work over SSL connection
392575,normal,Not restricting session to single IP address fails with IPv6
365088,normal,(Voters) is a strange way to let me see other people who voted for a bug
391945,normal,Staggered headers don't check dotweak properly
369062,normal,"prior should read ""earlier"" in edit groups"
393751,normal,has been ended needs a rewrite
394933,minor,“neworchanged” of bugmail could be localizable more easily
395603,major,"ERROR: ""invalid bug attribute remaining_time"" with timetrackinggroup set to blank"
395632,normal,XMLRPC WebService Bugzilla::User::offer_account_by_email does not check createemailregexp
395727,normal,"email_in.pl has not ability to add attachments by email, as documentation says"
395771,major,Advanced search results sorted incorrectly when sorted by importance
395970,major,mid-air collision resolution doesn't do what it says
396558,major,Dependency change e-mails include status changes that happened a long time ago
396616,normal,SetParam error when changing a group name in editgroups.cgi
396934,normal,"editproducts.cgi displays ""Add product"" to users that can't add products"
349567,major,strict_isolation in post_bug should also check can_see_product
397575,normal,syncLDAP outputs HTML does not enable/disable accounts
397544,trivial,ppm repository command is outdated
397616,normal,"Modifying Users is mentioning <productname>, but not clear when this appears"
398990,major,Adding a comment (from user with 'Canedit' rights only) via email_in.pl fails
400243,normal,"""votes:n"" quicksearch should be ""at least n votes"", not ""more than n votes"""
400256,major,Link / URL autodetection chokes in international symbols
400729,normal,Quick start guide suggests changing os list in localconfig
383522,normal,mod_perl creates a separate template directory
402606,normal,Older saved queries will not refresh changes to a newer Saved Search in footer
402609,normal,'Administrate' is not the correct title for the Admin page
403326,normal,"when attaching a patch, if review requestee is not an exact match it ends up being the requestor"
355620,trivial,Sect 6.6 of the Bugzilla Guide fails to line wrap correctly in PDF version
380756,normal,What is CanonicaliseParams()??
405404,normal,bugzilla (cvs @2007112608) doesn't work with utf8 = 1 in params
406462,normal,"« Bugzilla – Change Votes » broken due to Unicode Block ""General Punctuation"" characters"
406758,minor,buglist help for keywords says tag
406836,normal,%user% pronoun doesn't work for flag requestee field
408446,major,attachment.cgi can not display attachment right(garbled ).
410608,critical,"utf8 ""\xC1"" does not map to Unicode"
410660,normal,Updating a bug fails if there is a multi-select custom field.
410776,normal,"Update ""Release Info"" page for 3.0.3"
410873,enhancement,Bugzilla needs to support deleting foreign keys (aka constraints?)
411486,normal,[Oracle] Fail when add a new custom field.
410521,normal,Error thrown in the web server log when attaching new files
412504,normal,"Update ""Release Info"" page for 3.1.3"
413121,critical,UTF-8 in templates are garbaged
391274,normal,"Warning box says ""Caution"".  Info requiring attention says ""Warning"" - p. 3"
413648,normal,attachment mime type handling should strip leading and trailing spaces
413830,normal,Cannot group similar targets by assigning same sortkey
414269,normal,Bring back knobs to their original place
415177,normal,Bugzilla::CGI::upload: syntax error at Bugzilla/Attachment.pm line 395
378908,minor,Edit Group Access Controls hint for Default Default is missing a period
416382,critical,"Trying to attach bug gives Insecure dependency in sprintf while running with -T switch at (eval 42) line 6., referer: http://10.4.1.7:5556/attachment.cgi?bugid=806&action=enter"
388099,enhancement,"[Windows] Remove ""ppm repo up"" instructions for ActiveState builds 819 and higher"
418518,minor,Keyword search fails right after creation
419014,normal,Charts are _not_ project specific!
419016,normal,Space between the votes text and period is annoying and dumb looking
419979,major,Bugzilla::DB::bz_add_field_table directly modifies the FIELD_TABLE_SCHEMA constant
420153,normal,|Removed|Added columns containing non-ASCII don't line up
391949,normal,"colchange, login, and a number of other forms are missing a space before checked"
390370,normal,Products should be Other Products
423439,normal,Page show_bug.cgi crashes on wrapping comment containing Cyrillic characters
423564,normal,Bugzilla throwing css errors on console in Firefox because of Opera-specific css
424640,critical,the image should be visible.
417530,normal,"Update ""Release Info"" page for 3.0.4 and 3.1.4"
425606,major,wrapping is broken
425599,normal,show_activity missing space for attachment flag changes
425665,blocker,XSS in show_bug.cgi
425647,normal,fielddefs table needs FKs to it from bugs_activity
426165,normal,javascript in template flag/list.html.tmpl overwrites default onload-Event
425433,minor,bug/edit.html.tmpl attempting to commit readonly fields
425636,normal,Creating an attachment breaks wrapping
322955,major,bug_email and bug_email_append are broken and have no maintainer
428406,normal,contrib/bz_webservice_demo.pl fails with --product_name (Product.get_products doesn't accept product names)
431201,major,recode.pl crash when trying to convert 2.16 datbase to 3.0.3 schema
431704,normal,Remove useless newlines in replies sent by email_in.pl
430398,normal,request.cgi does not filter component select list on distinct values
433851,normal,Flag <select> not disabled even though user can't request or change flag
433987,normal,show_bug.cgi javascript error
434062,normal,attachment flags can only be set once per bug
434741,normal,Documentation says CGI Module 2.93 is required
436034,normal,Order in bug_activities
437369,minor,Sanitycheck does not check the full text table: bugs_fulltext
438810,major,Whining error in Bugzilla
441406,normal,no mid-air protection for editusers.cgi (granting permissions that have already been granted results in SQL error)
441592,normal,DB connections not closing under mod_perl
443162,normal,Status Update
443169,normal,"The ""Release Info"" page needs updating"
443166,normal,Release/News Announcement
443164,normal,"The ""changes"" page needs updating"
443163,normal,"The ""download"" needs updating"
443479,normal,"Clicking ""Reset to Bugzilla default"" when editing columns for a saved search does not reset them properly"
398075,enhancement,"Bugzilla should be able to display the ""shutdownhtml"" message even if the SQL server is down"
446645,normal,mysql full-text search: hyphenate as word delimiter
445804,normal,Suggested crontab configuration opens security hole
437169,normal,potential command execution when processing an attachment
449504,normal,Release Notes no longer need upgrading instructions
449663,normal,Code error thrown when resolving bug as duplicate of a bug the reporter cannot see
449984,critical,Cookies should be created as SSL-only
450013,blocker,Can sudo a user without sending email
450630,normal,English hardcoded string in BugMove.pm
450747,normal,[patch] minor JS cleanup for edit multiple bugs page.
368502,enhancement,Bugzilla_logincookie should not be accessible via javascript
452734,major,"Since update to Bugzilla 3.2, keywords cannot be entered by just typing them in anymore"
452746,minor,Link to the bug in the bug header/title bar includes a space
452750,normal,dusk colored visited links are hard to distinguish from black headers
452813,normal,noscript: no link to duplicate target bug
452919,normal,"English strings ""Created an attachment"" and ""details"" in localized installations"
452844,major,_check_dependencies not using detainted bug id from Bugzilla::Bug->check
452733,normal,[Classification] should not be next to bug ID and short_desc in the show_bug header
452736,critical,"Since update to 3.2, the link ""Vote for this bug"" has disappeared"
452893,normal,request.cgi crashes if a flag modification date is invalid
452888,enhancement,There should also be a status selector underneath the comment box
340609,normal,Undef to trick_taint at Bugzilla/Util.pm line 63
453389,major,Keyword autocomplete mishandles arrow keys
453681,normal,unable to delete user having attachment
434008,normal,Custom fields appear too small
431744,major,Change Column link URL contains more than 3x's the characters in the base buglist.cgi URL
455302,normal,"Name and Password should be ""Name"" if !user.authorizer.can_change_password"
455814,normal,token.cgi should reject password change requests for disabled accounts
455845,normal,Auto-generated mails have no header to indicate that very fact
425668,normal,Changing bugs omit body classes
456058,minor,Extra space included in hyperlink to commenter mailto
456642,normal,Mass bug edit form for buglist.cgi shows inactive bug statuses in drop down
457642,normal,"""Duplicate Warning"" group verification page unnecessarily displayed when changing a bug already marked as a duplicate of a restricted bug"
355283,major,user login password can be brute forced because there is no lockout policy
458142,normal,Users without editbugs privileges can add and remove other users from email CC list
458218,normal,Bug comment containing Form-Feed character 0x0C causes error when downloading buglist as xml
458390,normal,Foreign Key names can be too long as currntly designed
458189,normal,Adding +DUP to quicksearch returns no results
458475,normal,Diff lines overlapping in long lines
454386,normal,"QuickSearch allows use of [ as shortcut, but this isn't documented"
458666,normal,Searching for ! CC'ed ... doesn't work
458854,normal,Dependency graph producing incorrect URL
327626,normal,"Attachment.cgi errors should *always* list your comment, description, filename and such in their error"
460303,major,Can not mark a bug as duplicate
457657,normal,Make e-mail comment header localizable
460995,minor,need to use terms.abug in description for makeproductgroups
461548,normal,editproducts.cgi is misleading about Confirmation Threshold
461729,normal,Incorrect SQL is generated by Bugzilla/Search.pm
461745,major,Deleting a user in Bugzilla must change bugs or create referential integrity problems
461837,normal,Comment text wraps differently in the bug than in the textarea
463380,normal,"[Mysql] ""Use of uninitialized value"" when doing checksetup.pl the first time."
464130,major,Internet Explorer 7 does not show resolution_settings when changing bug_status
465118,normal,error message lost track of objects while talking about versions or bugs
465606,major,"If a user doesn't have access to change target milestone, it gets set back to default."
465930,normal,"error message should talk about ""bugzilla accounts"" and ""Default Assignee:"" not just addresses and ""initialowner:"""
466491,major,Dependency list output differs from Dependency Graph
466692,major,[SECURITY] It's way too easy to delete keywords/flags (etc...?)
467171,minor,Editing attachments doesn't update the Last-Modified timestamp
467334,normal,Commit button should have the same top padding as the status drop downs
467279,normal,config.rdf.tmpl flag uri is not equal in resource and about tag
466748,normal,Shared/saved searches can be deleted without user confirmation using predictable URL
469992,normal,Bugzilla Installer is no longer available
471518,normal,"""Field only appears when:"" produces a JavaScript error in Internet Explorer"
471060,normal,The mod_perl CGI requirement isn't necessary anymore
472400,major,gnatsparse doesn't work with newer schemas
472416,minor,"""Pick a product"" hint is not obvious when cloning a bug"
472458,normal,"""undef error - Cannot determine local time zone"" after submitting bug (postbug.cgi)"
470214,normal,Query sorting by multiple columns sometimes loses a column
473557,normal,"Collapse All does not collapse Description if Preferences set to ""newest-oldest with description at top"""
474150,normal,can't search for a substring/regexp on a keyword
460074,minor,Guided bug entry creates public bugs. Expected it to have same group membership defaults as using non-guided method.
376044,normal,"For non-logged in users, from buglist.cgi, change columns-> reset defaults, returns html as text"
474881,minor,Custom CSS files are always requested
472080,normal,Release Notes for 3.0.7
475523,normal,"""Accept bug"" command referenced in whine but doesn't exist"
476603,blocker,editing attachments doesn't have any CSRF protection
476678,normal,Add new security token to bug xml output
476925,critical,Comment lost when going back from the mid-air collision page and reloading the bug
477745,normal,[Oracle] Search doesn't work because of sql_string_until
478067,normal,CC's for cloned ticket all on last line
477593,normal,Bug._bug_to_hash generates invalid XMLRPC when dup_id is blank
478698,critical,checksetup.pl fails to connect to MySql 5.1
479228,normal,Repeated error message in importxml.pl
479164,normal,"""Bug"" appears raw in ""File a Bug"" on index.cgi"
479345,normal,Error when submit the setting of Edit Group Access Controls
479446,normal,email_in.pl script does not recognize signature delimiter when using CRLF line ending
480001,normal,"[MYSQL] max_allowed_packet is no longer allowed to be modified in session scope, and throws an error if you try in 5.1.31 and newer"
479948,normal,and/or in advanced boolean charts don't work properly for some bug fields
